Acc,ID,Center_Names,Submitted_by,Biosample_Submission,Bioproject_Submission,Institute_chatGPT,Country_chatGPT,Lat_chatGPT,Long_chatGPT
SRR8606903,7314038,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES, Australian Institute of Marince sciences,"Australian Institute of Marince sciences, Patrick Laffy",,Australian Institute of Marine Science,Australia,-19.2534, 146.8269
SRR11788653,10848896,CLARK UNIVERSITY, Clark University,"Clark University, Nathan Ahlgren",Clark University,Clark University,United States,42.2506° N, 71.8231° W
SRR9158324,7959983,CALIFORNIA STATE UNIVERSITY FULLERTON, California State University Fullerton,"California State University Fullerton, Maria Ramirez",California State University Fullerton,California State University Fullerton,United States,33.8825° N, 117.8854° W
SRR11881309,10964535,"CALIFORNIA STATE UNIVERSITY, FULLERTON"," California State University, Fullerton","California State University, Fullerton, Joshua Der","California State University, Fullerton","California State University, Fullerton.",United States.,33.8825° N, 117.8854° W
SRR10293930,9209919,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES"," California State University, Los Angeles","California State University, Los Angeles, Kirsten Fisher","California State University, Los Angeles","California State University, Los Angeles",United States,34.0669° N, 118.1686° W
SRR8665997,7378698,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE"," California State University, Northridge","California State University, Northridge, Kadir Galindo","California State University, Northridge","California State University, Northridge",United States,34.2382° N, 118.5289° W
SRR10018586,8900739,CFSAN, FDA Center for Food Safety and Applied Nutrition (CFSAN),CFSAN,FDA/CFSAN,FDA Center for Food Safety and Applied Nutrition (CFSAN),United States,39.0025,-77.0562
SRR8606903,7314038,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES, Australian Institute of Marince sciences,"Australian Institute of Marince sciences, Patrick Laffy",,Australian Institute of Marine Science,Australia,-19.0833° S, 146.8833° E
SRR10406092,9345478,AUSTRALIAN INSTITUTE OF MARINE SCIENCE, Australian Institute of Marine Science,"Australian Institute of Marine Science, Heidi Luter",Australian Institute of Marine Science,Australian Institute of Marine Science,Australia,-19.184070, 146.836060
SRR10566897,9518689,AUSTRALIAN INSTITUTE OF TROPICAL HEALTH AND MEDICINE, Australian Institute of Tropical Health and Medicine,"Australian Institute of Tropical Health and Medicine, Eike Steinig",Los Alamos National Laboratory,Australian Institute of Tropical Health and Medicine,Australia,I'm sorry, but as an AI language model
SRR11802022,10866020,INSTITUT PASTEUR DE MONTEVIDEO, Institut Pasteur de Montevideo,"Institut Pasteur de Montevideo, Juan Tosar",Institut Pasteur de Montevideo,Institut Pasteur de Montevideo,Uruguay,-34.8824,-56.1199
SRR11035393,10035960,INSTITUT PASTEUR DE LA GUADELOUPE, Institut Pasteur de la Guadeloupe,"Institut Pasteur de la Guadeloupe, Lyza HERY",Institut Pasteur de la Guadeloupe,Institut Pasteur de la Guadeloupe,France,16.2328,-61.5252
SRR8186487,6750232,INSTITUT PASTEUR OF SHANGHAI, Institut Pasteur of Shanghai,"Institut Pasteur of Shanghai, Pei Hao",Institut Pasteur of Shanghai,Institut Pasteur of Shanghai,China,31.2012° N, 121.4490° E
SRR11005721,10007327,UNIVERSITE DE MONTREAL - IRBV, Universite de Montreal - IRBV,"Universite de Montreal - IRBV, Simon Morvan",Universite de Montreal - IRBV,Universite de Montreal - IRBV,Canada,45.5229° N, 73.6120° W
SRR10989484,9982016,UNIVERSITY OF NEW BRUNSWICK, University of New Brunswick,"University of New Brunswick, Shawn Kroetsch",University of New Brunswick,University of New Brunswick,Canada,45.9459,-66.6429
