Acc,ID,Center_Names,Submitted_by,Biosample_Submission,Bioproject_Submission,Institute_chatGPT,Country_chatGPT,Lat_chatGPT,Long_chatGPT,Google_Maps_Latitude,Google_Maps_Longitude,Google_Maps_Full Address
SRR8606903,7314038,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES, Australian Institute of Marince sciences,"Australian Institute of Marince sciences, Patrick Laffy",,Australian Institute of Marine Science,Australia,-19.2534, 146.8269,-25.274398,133.775136,Australia
SRR11788653,10848896,CLARK UNIVERSITY, Clark University,"Clark University, Nathan Ahlgren",Clark University,Clark University,United States,42.2506° N, 71.8231° W,42.2520353,-71.8245381,"950 Main St, Worcester, MA 01610, USA"
SRR9158324,7959983,CALIFORNIA STATE UNIVERSITY FULLERTON, California State University Fullerton,"California State University Fullerton, Maria Ramirez",California State University Fullerton,California State University Fullerton,United States,33.8825° N, 117.8854° W,33.8823476,-117.8851033,"800 N State College Blvd, Fullerton, CA 92831, USA"
SRR11881309,10964535,"CALIFORNIA STATE UNIVERSITY, FULLERTON"," California State University, Fullerton","California State University, Fullerton, Joshua Der","California State University, Fullerton","California State University, Fullerton.",United States.,33.8825° N, 117.8854° W,33.8823476,-117.8851033,"800 N State College Blvd, Fullerton, CA 92831, USA"
SRR10293930,9209919,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES"," California State University, Los Angeles","California State University, Los Angeles, Kirsten Fisher","California State University, Los Angeles","California State University, Los Angeles",United States,34.0669° N, 118.1686° W,34.0663797,-118.1684782,"5151 State University Dr, Los Angeles, CA 90032, USA"
SRR8665997,7378698,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE"," California State University, Northridge","California State University, Northridge, Kadir Galindo","California State University, Northridge","California State University, Northridge",United States,34.2382° N, 118.5289° W,34.2406756,-118.5300196,"18111 Nordhoff St, Northridge, CA 91330, USA"
SRR10018586,8900739,CFSAN, FDA Center for Food Safety and Applied Nutrition (CFSAN),CFSAN,FDA/CFSAN,FDA Center for Food Safety and Applied Nutrition (CFSAN),United States,39.0025,-77.0562,37.09024,-95.712891,United States
SRR8606903,7314038,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES, Australian Institute of Marince sciences,"Australian Institute of Marince sciences, Patrick Laffy",,Australian Institute of Marine Science,Australia,-19.0833° S, 146.8833° E,-25.274398,133.775136,Australia
SRR10406092,9345478,AUSTRALIAN INSTITUTE OF MARINE SCIENCE, Australian Institute of Marine Science,"Australian Institute of Marine Science, Heidi Luter",Australian Institute of Marine Science,Australian Institute of Marine Science,Australia,-19.184070, 146.836060,-25.274398,133.775136,Australia
SRR10566897,9518689,AUSTRALIAN INSTITUTE OF TROPICAL HEALTH AND MEDICINE, Australian Institute of Tropical Health and Medicine,"Australian Institute of Tropical Health and Medicine, Eike Steinig",Los Alamos National Laboratory,Australian Institute of Tropical Health and Medicine,Australia,I'm sorry, but as an AI language model,-25.274398,133.775136,Australia
SRR11802022,10866020,INSTITUT PASTEUR DE MONTEVIDEO, Institut Pasteur de Montevideo,"Institut Pasteur de Montevideo, Juan Tosar",Institut Pasteur de Montevideo,Institut Pasteur de Montevideo,Uruguay,-34.8824,-56.1199,-34.8834579,-56.1184537,"Mataojo 2020, 11400 Montevideo, Departamento de Montevideo, Uruguay"
